"ID","cluster","parent","parentSimScore","score","size","term","parentTerm","Description","Freq"
"GO:0001886",3,"GO:0002064",0.817,1,13,"endothelial cell morphogenesis","epithelial cell development","endothelial cell morphogenesis",1
"GO:0001890",56,"GO:0060065",0.698,1,37,"placenta development","uterus development","placenta development",1
"GO:0001894",33,"GO:0042632",0.553,2,20,"tissue homeostasis","cholesterol homeostasis","tissue homeostasis",2
"GO:0001921",89,"GO:0001921",1,1,16,"positive regulation of receptor recycling","positive regulation of receptor recycling","positive regulation of receptor recycling",1
"GO:0001932",26,"GO:0031954",0.621,1,42,"regulation of protein phosphorylation","positive regulation of protein autophosphorylation","regulation of protein phosphorylation",1
"GO:0001935",17,"GO:1904707",0.523,2,16,"endothelial cell proliferation","positive regulation of vascular smooth muscle cell proliferation","endothelial cell proliferation",2
"GO:0001938",17,"GO:1904707",0.619,2,78,"positive regulation of endothelial cell proliferation","positive regulation of vascular smooth muscle cell proliferation","positive regulation of endothelial
cell proliferation",2
"GO:0001944",46,"GO:0001525",0.944,1,13,"vasculature development","angiogenesis","vasculature development",1
"GO:0001946",46,"GO:0001525",0.659,2,16,"lymphangiogenesis","angiogenesis","lymphangiogenesis",2
"GO:0001947",46,"GO:0001525",0.691,2,64,"heart looping","angiogenesis","heart looping",2
"GO:0001958",13,"GO:0001501",0.752,1,28,"endochondral ossification","skeletal system development","endochondral ossification",1
"GO:0001975",25,"GO:0045471",0.696,2,32,"response to amphetamine","response to ethanol","response to amphetamine",2
"GO:0002009",3,"GO:0002064",0.698,1,16,"morphogenesis of an epithelium","epithelial cell development","morphogenesis of an epithelium",1
"GO:0002028",22,"GO:0070588",0.683,3,18,"regulation of sodium ion transport","calcium ion transmembrane transport","regulation of sodium ion transport",3
"GO:0002053",17,"GO:1904707",0.56,1,23,"positive regulation of mesenchymal cell proliferation","positive regulation of vascular smooth muscle cell proliferation","positive regulation of mesenchymal
cell proliferation",1
"GO:0002062",13,"GO:0001501",0.852,1,35,"chondrocyte differentiation","skeletal system development","chondrocyte differentiation",1
"GO:0002064",3,"GO:0002064",0.998,6,12,"epithelial cell development","epithelial cell development","epithelial cell development",6
"GO:0002076",28,"GO:0030501",0.647,1,19,"osteoblast development","positive regulation of bone mineralization","osteoblast development",1
"GO:0002084",95,"GO:0042157",0.819,1,12,"protein depalmitoylation","lipoprotein metabolic process","protein depalmitoylation",1
"GO:0002181",52,"GO:0006414",0.667,1,46,"cytoplasmic translation","translational elongation","cytoplasmic translation",1
"GO:0002230",38,"GO:0042742",0.594,1,35,"positive regulation of defense response to virus by host","defense response to bacterium","positive regulation of defense
response to virus by host",1
"GO:0002244",21,"GO:0045654",0.544,2,64,"hematopoietic progenitor cell differentiation","positive regulation of megakaryocyte differentiation","hematopoietic progenitor cell differentiation",2
"GO:0002281",63,"GO:0043032",0.809,1,13,"macrophage activation involved in immune response","positive regulation of macrophage activation","macrophage activation involved in
immune response",1
"GO:0002407",6,"GO:0090023",0.671,2,17,"dendritic cell chemotaxis","positive regulation of neutrophil chemotaxis","dendritic cell chemotaxis",2
"GO:0002576",4,"GO:0002576",0.999,5,126,"platelet degranulation","platelet degranulation","platelet degranulation",5
"GO:0003094",20,"GO:0055119",0.393,2,11,"glomerular filtration","relaxation of cardiac muscle","glomerular filtration",2
"GO:0003139",34,"GO:0007368",0.638,1,9,"secondary heart field specification","determination of left/right symmetry","secondary heart field specification",1
"GO:0003148",46,"GO:0001525",0.566,1,27,"outflow tract septum morphogenesis","angiogenesis","outflow tract septum morphogenesis",1
"GO:0003151",46,"GO:0001525",0.622,1,48,"outflow tract morphogenesis","angiogenesis","outflow tract morphogenesis",1
"GO:0003215",46,"GO:0001525",0.554,1,13,"cardiac right ventricle morphogenesis","angiogenesis","cardiac right ventricle morphogenesis",1
"GO:0003323",3,"GO:0002064",0.845,1,12,"type B pancreatic cell development","epithelial cell development","type B pancreatic cell development",1
"GO:0003341",2,"GO:0003341",0.999,6,40,"cilium movement","cilium movement","cilium movement",6
"GO:0003351",2,"GO:0003341",0.921,1,16,"epithelial cilium movement involved in extracellular fluid movement","cilium movement","epithelial cilium movement involved
in extracellular fluid movement",1
"GO:0003376",8,"GO:0007186",0.596,1,10,"sphingosine-1-phosphate receptor signaling pathway","G protein-coupled receptor signaling pathway","sphingosine-1-phosphate receptor signaling pathway",1
"GO:0003407",44,"GO:0042462",0.725,2,15,"neural retina development","eye photoreceptor cell development","neural retina development",2
"GO:0006096",79,"GO:0022900",0.766,1,39,"glycolytic process","electron transport chain","glycolytic process",1
"GO:0006271",58,"GO:0048478",0.69,1,12,"DNA strand elongation involved in DNA replication","replication fork protection","DNA strand elongation involved
in DNA replication",1
"GO:0006282",14,"GO:0042542",0.372,1,8,"regulation of DNA repair","response to hydrogen peroxide","regulation of DNA repair",1
"GO:0006289",14,"GO:0042542",0.4,1,51,"nucleotide-excision repair","response to hydrogen peroxide","nucleotide-excision repair",1
"GO:0006294",14,"GO:0042542",0.332,1,30,"nucleotide-excision repair, preincision complex assembly","response to hydrogen peroxide","nucleotide-excision repair, preincision complex
assembly",1
"GO:0006297",14,"GO:0042542",0.332,1,31,"nucleotide-excision repair, DNA gap filling","response to hydrogen peroxide","nucleotide-excision repair, DNA gap
filling",1
"GO:0006303",14,"GO:0042542",0.365,1,92,"double-strand break repair via nonhomologous end joining","response to hydrogen peroxide","double-strand break repair via
nonhomologous end joining",1
"GO:0006337",67,"GO:0006338",0.583,1,20,"nucleosome disassembly","chromatin remodeling","nucleosome disassembly",1
"GO:0006338",67,"GO:0006338",0.998,2,115,"chromatin remodeling","chromatin remodeling","chromatin remodeling",2
"GO:0006359",80,"GO:1902895",0.347,1,10,"regulation of transcription by RNA polymerase III","positive regulation of pri-miRNA transcription by RNA polymerase II","regulation of transcription by
RNA polymerase III",1
"GO:0006378",66,"GO:0008334",0.526,1,31,"mRNA polyadenylation","histone mRNA metabolic process","mRNA polyadenylation",1
"GO:0006400",78,"GO:0006400",0.999,1,31,"tRNA modification","tRNA modification","tRNA modification",1
"GO:0006412",52,"GO:0006414",0.803,1,219,"translation","translational elongation","translation",1
"GO:0006413",52,"GO:0006414",0.712,2,168,"translational initiation","translational elongation","translational initiation",2
"GO:0006414",52,"GO:0006414",0.999,2,25,"translational elongation","translational elongation","translational elongation",2
"GO:0006469",51,"GO:0000186",0.682,1,79,"negative regulation of protein kinase activity","activation of MAPKK activity","negative regulation of protein
kinase activity",1
"GO:0006479",75,"GO:0032259",0.946,1,34,"protein methylation","methylation","protein methylation",1
"GO:0006486",93,"GO:0018146",0.655,1,111,"protein glycosylation","keratan sulfate biosynthetic process","protein glycosylation",1
"GO:0006491",93,"GO:0018146",0.469,1,14,"N-glycan processing","keratan sulfate biosynthetic process","N-glycan processing",1
"GO:0006509",81,"GO:0006509",1,1,28,"membrane protein ectodomain proteolysis","membrane protein ectodomain proteolysis","membrane protein ectodomain proteolysis",1
"GO:0006520",74,"GO:0006693",0.627,1,29,"cellular amino acid metabolic process","prostaglandin metabolic process","cellular amino acid metabolic process",1
"GO:0006614",35,"GO:0043691",0.41,2,93,"SRP-dependent cotranslational protein targeting to membrane","reverse cholesterol transport","SRP-dependent cotranslational protein targeting
to membrane",2
"GO:0006622",27,"GO:0007041",0.902,2,22,"protein targeting to lysosome","lysosomal transport","protein targeting to lysosome",2
"GO:0006626",27,"GO:0007041",0.312,1,32,"protein targeting to mitochondrion","lysosomal transport","protein targeting to mitochondrion",1
"GO:0006629",31,"GO:0008203",0.714,1,130,"lipid metabolic process","cholesterol metabolic process","lipid metabolic process",1
"GO:0006631",31,"GO:0008203",0.62,1,59,"fatty acid metabolic process","cholesterol metabolic process","fatty acid metabolic process",1
"GO:0006635",31,"GO:0008203",0.536,1,63,"fatty acid beta-oxidation","cholesterol metabolic process","fatty acid beta-oxidation",1
"GO:0006644",31,"GO:0008203",0.627,2,64,"phospholipid metabolic process","cholesterol metabolic process","phospholipid metabolic process",2
"GO:0006654",31,"GO:0008203",0.503,1,49,"phosphatidic acid biosynthetic process","cholesterol metabolic process","phosphatidic acid biosynthetic process",1
"GO:0006656",31,"GO:0008203",0.503,1,39,"phosphatidylcholine biosynthetic process","cholesterol metabolic process","phosphatidylcholine biosynthetic process",1
"GO:0006693",74,"GO:0006693",1,1,20,"prostaglandin metabolic process","prostaglandin metabolic process","prostaglandin metabolic process",1
"GO:0006694",31,"GO:0008203",0.86,1,28,"steroid biosynthetic process","cholesterol metabolic process","steroid biosynthetic process",1
"GO:0006695",31,"GO:0008203",0.95,3,60,"cholesterol biosynthetic process","cholesterol metabolic process","cholesterol biosynthetic process",3
"GO:0006703",31,"GO:0008203",0.689,1,16,"estrogen biosynthetic process","cholesterol metabolic process","estrogen biosynthetic process",1
"GO:0006730",74,"GO:0006693",0.415,1,22,"one-carbon metabolic process","prostaglandin metabolic process","one-carbon metabolic process",1
"GO:0006749",47,"GO:1901687",0.659,2,52,"glutathione metabolic process","glutathione derivative biosynthetic process","glutathione metabolic process",2
"GO:0006805",70,"GO:0006805",0.999,2,108,"xenobiotic metabolic process","xenobiotic metabolic process","xenobiotic metabolic process",2
"GO:0006809",36,"GO:0050807",0.39,1,16,"nitric oxide biosynthetic process","regulation of synapse organization","nitric oxide biosynthetic process",1
"GO:0006812",22,"GO:0070588",0.829,1,36,"cation transport","calcium ion transmembrane transport","cation transport",1
"GO:0006813",22,"GO:0070588",0.76,1,69,"potassium ion transport","calcium ion transmembrane transport","potassium ion transport",1
"GO:0006816",22,"GO:0070588",0.954,1,86,"calcium ion transport","calcium ion transmembrane transport","calcium ion transport",1
"GO:0006825",22,"GO:0070588",0.612,1,16,"copper ion transport","calcium ion transmembrane transport","copper ion transport",1
"GO:0006828",22,"GO:0070588",0.585,1,9,"manganese ion transport","calcium ion transmembrane transport","manganese ion transport",1
"GO:0006839",27,"GO:0007041",0.336,1,15,"mitochondrial transport","lysosomal transport","mitochondrial transport",1
"GO:0006869",35,"GO:0043691",0.757,1,63,"lipid transport","reverse cholesterol transport","lipid transport",1
"GO:0006878",33,"GO:0042632",0.525,1,15,"cellular copper ion homeostasis","cholesterol homeostasis","cellular copper ion homeostasis",1
"GO:0006879",33,"GO:0042632",0.586,1,65,"cellular iron ion homeostasis","cholesterol homeostasis","cellular iron ion homeostasis",1
"GO:0006882",33,"GO:0042632",0.565,1,35,"cellular zinc ion homeostasis","cholesterol homeostasis","cellular zinc ion homeostasis",1
"GO:0006883",33,"GO:0042632",0.541,1,24,"cellular sodium ion homeostasis","cholesterol homeostasis","cellular sodium ion homeostasis",1
"GO:0006891",57,"GO:0006897",0.532,1,41,"intra-Golgi vesicle-mediated transport","endocytosis","intra-Golgi vesicle-mediated transport",1
"GO:0006892",57,"GO:0006897",0.581,1,20,"post-Golgi vesicle-mediated transport","endocytosis","post-Golgi vesicle-mediated transport",1
"GO:0006897",57,"GO:0006897",0.993,2,192,"endocytosis","endocytosis","endocytosis",2
"GO:0006898",57,"GO:0006897",0.912,1,169,"receptor-mediated endocytosis","endocytosis","receptor-mediated endocytosis",1
"GO:0006904",4,"GO:0002576",0.63,1,32,"vesicle docking involved in exocytosis","platelet degranulation","vesicle docking involved in exocytosis",1
"GO:0006911",15,"GO:0006911",0.999,4,94,"phagocytosis, engulfment","phagocytosis, engulfment","phagocytosis, engulfment",4
"GO:0006936",20,"GO:0055119",0.714,1,115,"muscle contraction","relaxation of cardiac muscle","muscle contraction",1
"GO:0006952",42,"GO:0050729",0.708,1,72,"defense response","positive regulation of inflammatory response","defense response",1
"GO:0006954",42,"GO:0050729",0.845,3,384,"inflammatory response","positive regulation of inflammatory response","inflammatory response",3
"GO:0006955",11,"GO:0006958",0.646,2,461,"immune response","complement activation, classical pathway","immune response",2
"GO:0006956",11,"GO:0006958",0.924,4,98,"complement activation","complement activation, classical pathway","complement activation",4
"GO:0006957",11,"GO:0006958",0.74,2,14,"complement activation, alternative pathway","complement activation, classical pathway","complement activation, alternative pathway",2
"GO:0006958",11,"GO:0006958",0.999,5,163,"complement activation, classical pathway","complement activation, classical pathway","complement activation, classical pathway",5
"GO:0006968",42,"GO:0050729",0.506,1,52,"cellular defense response","positive regulation of inflammatory response","cellular defense response",1
"GO:0006977",53,"GO:0007095",0.867,2,60,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","mitotic G2 DNA damage checkpoint","DNA damage response, signal transduction by
p53 class mediator resulting in cell cycle arrest",2
"GO:0007009",85,"GO:0007030",0.801,1,16,"plasma membrane organization","Golgi organization","plasma membrane organization",1
"GO:0007015",61,"GO:0043149",0.857,1,97,"actin filament organization","stress fiber assembly","actin filament organization",1
"GO:0007018",2,"GO:0003341",0.877,2,100,"microtubule-based movement","cilium movement","microtubule-based movement",2
"GO:0007030",85,"GO:0007030",0.999,1,132,"Golgi organization","Golgi organization","Golgi organization",1
"GO:0007041",27,"GO:0007041",0.999,3,24,"lysosomal transport","lysosomal transport","lysosomal transport",3
"GO:0007093",53,"GO:0007095",0.852,1,40,"mitotic cell cycle checkpoint","mitotic G2 DNA damage checkpoint","mitotic cell cycle checkpoint",1
"GO:0007094",53,"GO:0007095",0.771,1,29,"mitotic spindle assembly checkpoint","mitotic G2 DNA damage checkpoint","mitotic spindle assembly checkpoint",1
"GO:0007095",53,"GO:0007095",1,2,19,"mitotic G2 DNA damage checkpoint","mitotic G2 DNA damage checkpoint","mitotic G2 DNA damage checkpoint",2
"GO:0007129",23,"GO:0007130",0.945,1,27,"synapsis","synaptonemal complex assembly","homologous chromosome pairing at meiosis",1
"GO:0007130",23,"GO:0007130",1,4,21,"synaptonemal complex assembly","synaptonemal complex assembly","synaptonemal complex assembly",4
"GO:0007131",23,"GO:0007130",0.809,1,36,"reciprocal meiotic recombination","synaptonemal complex assembly","reciprocal meiotic recombination",1
"GO:0007141",23,"GO:0007130",0.757,1,24,"male meiosis I","synaptonemal complex assembly","male meiosis I",1
"GO:0007155",40,"GO:0033628",0.662,2,472,"cell adhesion","regulation of cell adhesion mediated by integrin","cell adhesion",2
"GO:0007156",40,"GO:0033628",0.543,1,178,"homophilic cell adhesion via plasma membrane adhesion molecules","regulation of cell adhesion mediated by integrin","homophilic cell adhesion via
plasma membrane adhesion molecules",1
"GO:0007160",40,"GO:0033628",0.56,2,105,"cell-matrix adhesion","regulation of cell adhesion mediated by integrin","cell-matrix adhesion",2
"GO:0007162",40,"GO:0033628",0.696,1,53,"negative regulation of cell adhesion","regulation of cell adhesion mediated by integrin","negative regulation of cell adhesion",1
"GO:0007163",104,"GO:0007163",0.998,1,41,"establishment or maintenance of cell polarity","establishment or maintenance of cell polarity","establishment or maintenance of
cell polarity",1
"GO:0007166",84,"GO:0050896",0.465,1,213,"cell surface receptor signaling pathway","response to stimulus","cell surface receptor signaling pathway",1
"GO:0007169",9,"GO:0007229",0.482,1,116,"transmembrane receptor protein tyrosine kinase signaling pathway","integrin-mediated signaling pathway","transmembrane receptor protein tyrosine
kinase signaling pathway",1
"GO:0007186",8,"GO:0007186",0.985,5,1272,"G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling
pathway",5
"GO:0007187",8,"GO:0007186",0.819,1,66,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling pathway, coupled
to cyclic nucleotide second messenger",1
"GO:0007189",8,"GO:0007186",0.76,1,139,"adenylate cyclase-activating G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling pathway","adenylate cyclase-activating G protein-coupled
receptor signaling pathway",1
"GO:0007193",8,"GO:0007186",0.72,1,65,"adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling pathway","adenylate cyclase-inhibiting G protein-coupled
receptor signaling pathway",1
"GO:0007194",51,"GO:0000186",0.434,2,18,"negative regulation of adenylate cyclase activity","activation of MAPKK activity","negative regulation of adenylate
cyclase activity",2
"GO:0007200",8,"GO:0007186",0.725,1,61,"phospholipase C-activating G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling pathway","phospholipase C-activating G protein-coupled
receptor signaling pathway",1
"GO:0007218",8,"GO:0007186",0.723,4,111,"neuropeptide signaling pathway","G protein-coupled receptor signaling pathway","neuropeptide signaling pathway",4
"GO:0007219",9,"GO:0007229",0.432,2,135,"Notch signaling pathway","integrin-mediated signaling pathway","Notch signaling pathway",2
"GO:0007223",50,"GO:0007268",0.552,1,40,"Wnt signaling pathway, calcium modulating pathway","chemical synaptic transmission","Wnt signaling pathway, calcium
modulating pathway",1
"GO:0007224",9,"GO:0007229",0.417,1,78,"smoothened signaling pathway","integrin-mediated signaling pathway","smoothened signaling pathway",1
"GO:0007229",9,"GO:0007229",0.999,5,110,"integrin-mediated signaling pathway","integrin-mediated signaling pathway","integrin-mediated signaling pathway",5
"GO:0007254",26,"GO:0031954",0.459,1,55,"JNK cascade","positive regulation of protein autophosphorylation","JNK cascade",1
"GO:0007266",41,"GO:1901223",0.423,1,84,"Rho protein signal transduction","negative regulation of NIK/NF-kappaB signaling","Rho protein signal transduction",1
"GO:0007267",50,"GO:0007268",0.852,2,216,"cell-cell signaling","chemical synaptic transmission","cell-cell signaling",2
"GO:0007268",50,"GO:0007268",0.991,2,253,"chemical synaptic transmission","chemical synaptic transmission","chemical synaptic transmission",2
"GO:0007275",45,"GO:0030154",0.642,2,440,"multicellular organism development","cell differentiation","multicellular organism development",2
"GO:0007283",56,"GO:0060065",0.639,2,429,"spermatogenesis","uterus development","spermatogenesis",2
"GO:0007288",68,"GO:0014912",0.438,1,15,"sperm axoneme assembly","negative regulation of smooth muscle cell migration","sperm axoneme assembly",1
"GO:0007292",56,"GO:0060065",0.509,1,17,"female gamete generation","uterus development","female gamete generation",1
"GO:0007368",34,"GO:0007368",0.999,3,62,"determination of left/right symmetry","determination of left/right symmetry","determination of left/right symmetry",3
"GO:0007398",3,"GO:0002064",0.44,2,13,"ectoderm development","epithelial cell development","ectoderm development",2
"GO:0007399",10,"GO:0021591",0.535,3,301,"nervous system development","ventricular system development","nervous system development",3
"GO:0007411",18,"GO:1904158",0.48,1,229,"axon guidance","axonemal central apparatus assembly","axon guidance",1
"GO:0007417",10,"GO:0021591",0.68,1,143,"central nervous system development","ventricular system development","central nervous system development",1
"GO:0007420",10,"GO:0021591",0.721,2,225,"brain development","ventricular system development","brain development",2
"GO:0007507",46,"GO:0001525",0.799,2,199,"heart development","angiogenesis","heart development",2
"GO:0007517",45,"GO:0030154",0.374,1,92,"muscle organ development","cell differentiation","muscle organ development",1
"GO:0007565",56,"GO:0060065",0.516,1,88,"female pregnancy","uterus development","female pregnancy",1
"GO:0007566",56,"GO:0060065",0.473,2,40,"embryo implantation","uterus development","embryo implantation",2
"GO:0007568",77,"GO:0090398",0.895,1,169,"aging","cellular senescence","aging",1
"GO:0007596",54,"GO:0048678",0.764,2,193,"blood coagulation","response to axon injury","blood coagulation",2
"GO:0007597",54,"GO:0048678",0.614,1,19,"blood coagulation, intrinsic pathway","response to axon injury","blood coagulation, intrinsic pathway",1
"GO:0007601",20,"GO:0055119",0.452,4,217,"visual perception","relaxation of cardiac muscle","visual perception",4
"GO:0007605",20,"GO:0055119",0.441,3,143,"sensory perception of sound","relaxation of cardiac muscle","sensory perception of sound",3
"GO:0007611",49,"GO:0007613",0.918,2,61,"learning or memory","memory","learning or memory",2
"GO:0007612",49,"GO:0007613",0.869,2,62,"learning","memory","learning",2
"GO:0007613",49,"GO:0007613",0.999,3,84,"memory","memory","memory",3
"GO:0007616",49,"GO:0007613",0.913,1,33,"long-term memory","memory","long-term memory",1
"GO:0007623",60,"GO:0048511",0.967,1,81,"circadian rhythm","rhythmic process","circadian rhythm",1
"GO:0007626",49,"GO:0007613",0.722,1,84,"locomotory behavior","memory","locomotory behavior",1
"GO:0008016",20,"GO:0055119",0.479,2,35,"regulation of heart contraction","relaxation of cardiac muscle","regulation of heart contraction",2
"GO:0008090",72,"GO:0030705",0.814,1,11,"retrograde axonal transport","cytoskeleton-dependent intracellular transport","retrograde axonal transport",1
"GO:0008154",61,"GO:0043149",0.809,1,14,"actin polymerization or depolymerization","stress fiber assembly","actin polymerization or depolymerization",1
"GO:0008202",31,"GO:0008203",0.906,1,50,"steroid metabolic process","cholesterol metabolic process","steroid metabolic process",1
"GO:0008203",31,"GO:0008203",0.998,3,80,"cholesterol metabolic process","cholesterol metabolic process","cholesterol metabolic process",3
"GO:0008217",20,"GO:0055119",0.455,1,63,"regulation of blood pressure","relaxation of cardiac muscle","regulation of blood pressure",1
"GO:0008219",62,"GO:2001244",0.613,1,36,"cell death","positive regulation of intrinsic apoptotic signaling pathway","cell death",1
"GO:0008277",8,"GO:0007186",0.75,1,41,"regulation of G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling pathway","regulation of G protein-coupled
receptor signaling pathway",1
"GO:0008285",17,"GO:1904707",0.613,2,450,"negative regulation of cell population proliferation","positive regulation of vascular smooth muscle cell proliferation","negative regulation of cell
population proliferation",2
"GO:0008306",49,"GO:0007613",0.827,2,27,"associative learning","memory","associative learning",2
"GO:0008334",66,"GO:0008334",1,2,12,"histone mRNA metabolic process","histone mRNA metabolic process","histone mRNA metabolic process",2
"GO:0008360",69,"GO:0009653",0.595,1,158,"regulation of cell shape","anatomical structure morphogenesis","regulation of cell shape",1
"GO:0008542",49,"GO:0007613",0.796,1,48,"visual learning","memory","visual learning",1
"GO:0008585",56,"GO:0060065",0.675,1,18,"female gonad development","uterus development","female gonad development",1
"GO:0008631",14,"GO:0042542",0.736,1,15,"intrinsic apoptotic signaling pathway in response to oxidative stress","response to hydrogen peroxide","intrinsic apoptotic signaling pathway
in response to oxidative stress",1
"GO:0009235",74,"GO:0006693",0.409,1,26,"cobalamin metabolic process","prostaglandin metabolic process","cobalamin metabolic process",1
"GO:0009268",16,"GO:0009612",0.598,1,8,"response to pH","response to mechanical stimulus","response to pH",1
"GO:0009311",71,"GO:0009313",0.929,1,13,"oligosaccharide metabolic process","oligosaccharide catabolic process","oligosaccharide metabolic process",1
"GO:0009313",71,"GO:0009313",1,2,16,"oligosaccharide catabolic process","oligosaccharide catabolic process","oligosaccharide catabolic process",2
"GO:0009411",16,"GO:0009612",0.658,1,46,"response to UV","response to mechanical stimulus","response to UV",1
"GO:0009416",16,"GO:0009612",0.705,2,23,"response to light stimulus","response to mechanical stimulus","response to light stimulus",2
"GO:0009612",16,"GO:0009612",0.998,4,58,"response to mechanical stimulus","response to mechanical stimulus","response to mechanical stimulus",4
"GO:0009615",38,"GO:0042742",0.665,1,105,"response to virus","defense response to bacterium","response to virus",1
"GO:0009617",38,"GO:0042742",0.923,2,93,"response to bacterium","defense response to bacterium","response to bacterium",2
"GO:0009636",25,"GO:0045471",0.864,1,65,"response to toxic substance","response to ethanol","response to toxic substance",1
"GO:0009653",69,"GO:0009653",0.955,2,109,"anatomical structure morphogenesis","anatomical structure morphogenesis","anatomical structure morphogenesis",2
"GO:0009887",69,"GO:0009653",0.811,1,112,"animal organ morphogenesis","anatomical structure morphogenesis","animal organ morphogenesis",1
"GO:0009888",3,"GO:0002064",0.677,1,38,"tissue development","epithelial cell development","tissue development",1
"GO:0009952",34,"GO:0007368",0.802,1,98,"anterior/posterior pattern specification","determination of left/right symmetry","anterior/posterior pattern specification",1
"GO:0009966",84,"GO:0050896",0.455,1,23,"regulation of signal transduction","response to stimulus","regulation of signal transduction",1
"GO:0010033",25,"GO:0045471",0.56,1,33,"response to organic substance","response to ethanol","response to organic substance",1
