"ID","cluster","parent","parentSimScore","score","size","term","parentTerm","Description","Freq"
"GO:0002224",48,"GO:0002756",0.884,1,52,"toll-like receptor signaling pathway","MyD88-independent toll-like receptor signaling pathway","toll-like receptor signaling pathway",1
"GO:0002244",77,"GO:0030316",0.657,1,64,"hematopoietic progenitor cell differentiation","osteoclast differentiation","hematopoietic progenitor cell differentiation",1
"GO:0002407",11,"GO:0060326",0.785,1,17,"dendritic cell chemotaxis","cell chemotaxis","dendritic cell chemotaxis",1
"GO:0002479",52,"GO:0030449",0.357,1,75,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent","regulation of complement activation","antigen processing and presentation of exogenous
peptide antigen via MHC class I, TAP-dependent",1
"GO:0002576",3,"GO:0016079",0.725,2,126,"platelet degranulation","synaptic vesicle exocytosis","platelet degranulation",2
"GO:0002756",48,"GO:0002756",1,2,20,"MyD88-independent toll-like receptor signaling pathway","MyD88-independent toll-like receptor signaling pathway","MyD88-independent toll-like receptor signaling
pathway",2
"GO:0002931",55,"GO:0006953",0.318,2,50,"response to ischemia","acute-phase response","response to ischemia",2
"GO:0003139",97,"GO:0009948",0.643,1,9,"secondary heart field specification","anterior/posterior axis specification","secondary heart field specification",1
"GO:0003222",23,"GO:0016525",0.498,1,16,"ventricular trabecula myocardium morphogenesis","negative regulation of angiogenesis","ventricular trabecula myocardium morphogenesis",1
"GO:0003223",23,"GO:0016525",0.477,1,7,"ventricular compact myocardium morphogenesis","negative regulation of angiogenesis","ventricular compact myocardium morphogenesis",1
"GO:0003231",23,"GO:0016525",0.591,1,6,"cardiac ventricle development","negative regulation of angiogenesis","cardiac ventricle development",1
"GO:0003323",65,"GO:0003323",1,2,12,"type B pancreatic cell development","type B pancreatic cell development","type B pancreatic cell development",2
"GO:0003341",8,"GO:0003341",0.999,4,40,"cilium movement","cilium movement","cilium movement",4
"GO:0003360",43,"GO:0003360",1,2,7,"brainstem development","brainstem development","brainstem development",2
"GO:0003382",65,"GO:0003323",0.754,1,17,"epithelial cell morphogenesis","type B pancreatic cell development","epithelial cell morphogenesis",1
"GO:0006006",83,"GO:0045721",0.809,1,60,"glucose metabolic process","negative regulation of gluconeogenesis","glucose metabolic process",1
"GO:0006027",12,"GO:0006027",0.999,3,27,"glycosaminoglycan catabolic process","glycosaminoglycan catabolic process","glycosaminoglycan catabolic process",3
"GO:0006094",83,"GO:0045721",0.884,1,70,"gluconeogenesis","negative regulation of gluconeogenesis","gluconeogenesis",1
"GO:0006096",53,"GO:0006520",0.673,2,39,"glycolytic process","cellular amino acid metabolic process","glycolytic process",2
"GO:0006099",101,"GO:0006099",1,1,59,"tricarboxylic acid cycle","tricarboxylic acid cycle","tricarboxylic acid cycle",1
"GO:0006164",84,"GO:0043101",0.828,1,12,"purine nucleotide biosynthetic process","purine-containing compound salvage","purine nucleotide biosynthetic process",1
"GO:0006260",95,"GO:0006261",0.948,1,151,"DNA replication","DNA-dependent DNA replication","DNA replication",1
"GO:0006261",95,"GO:0006261",0.998,1,23,"DNA-dependent DNA replication","DNA-dependent DNA replication","DNA-dependent DNA replication",1
"GO:0006337",22,"GO:0051289",0.462,1,20,"nucleosome disassembly","protein homotetramerization","nucleosome disassembly",1
"GO:0006342",29,"GO:0006342",1,2,26,"chromatin silencing","chromatin silencing","chromatin silencing",2
"GO:0006349",29,"GO:0006342",0.554,1,16,"regulation of gene expression by genetic imprinting","chromatin silencing","regulation of gene expression
by genetic imprinting",1
"GO:0006366",96,"GO:0016070",0.778,1,320,"transcription by RNA polymerase II","RNA metabolic process","transcription by RNA polymerase II",1
"GO:0006376",46,"GO:0043488",0.601,1,24,"mRNA splice site selection","regulation of mRNA stability","mRNA splice site selection",1
"GO:0006383",96,"GO:0016070",0.471,1,37,"transcription by RNA polymerase III","RNA metabolic process","transcription by RNA polymerase III",1
"GO:0006412",84,"GO:0043101",0.553,1,219,"translation","purine-containing compound salvage","translation",1
"GO:0006413",84,"GO:0043101",0.497,1,168,"translational initiation","purine-containing compound salvage","translational initiation",1
"GO:0006457",19,"GO:0006457",0.998,3,159,"protein folding","protein folding","protein folding",3
"GO:0006464",7,"GO:0044267",0.851,2,90,"cellular protein modification process","cellular protein metabolic process","cellular protein modification process",2
"GO:0006476",88,"GO:0070932",0.883,1,16,"protein deacetylation","histone H3 deacetylation","protein deacetylation",1
"GO:0006479",40,"GO:0032259",0.946,1,34,"protein methylation","methylation","protein methylation",1
"GO:0006486",5,"GO:0006486",0.997,4,111,"protein glycosylation","protein glycosylation","protein glycosylation",4
"GO:0006487",5,"GO:0006486",0.9,1,45,"protein N-linked glycosylation","protein glycosylation","protein N-linked glycosylation",1
"GO:0006488",5,"GO:0006486",0.808,4,19,"dolichol-linked oligosaccharide biosynthetic process","protein glycosylation","dolichol-linked oligosaccharide biosynthetic process",4
"GO:0006508",17,"GO:0010951",0.734,1,466,"proteolysis","negative regulation of endopeptidase activity","proteolysis",1
"GO:0006511",17,"GO:0010951",0.662,1,354,"ubiquitin-dependent protein catabolic process","negative regulation of endopeptidase activity","ubiquitin-dependent protein catabolic process",1
"GO:0006515",17,"GO:0010951",0.5,2,13,"protein quality control for misfolded or incompletely synthesized proteins","negative regulation of endopeptidase activity","protein quality control for
misfolded or incompletely synthesized proteins",2
"GO:0006520",53,"GO:0006520",0.995,2,29,"cellular amino acid metabolic process","cellular amino acid metabolic process","cellular amino acid metabolic process",2
"GO:0006521",53,"GO:0006520",0.803,1,51,"regulation of cellular amino acid metabolic process","cellular amino acid metabolic process","regulation of cellular amino
acid metabolic process",1
"GO:0006536",53,"GO:0006520",0.791,1,16,"glutamate metabolic process","cellular amino acid metabolic process","glutamate metabolic process",1
"GO:0006541",53,"GO:0006520",0.754,1,20,"glutamine metabolic process","cellular amino acid metabolic process","glutamine metabolic process",1
"GO:0006590",64,"GO:0006749",0.743,1,16,"thyroid hormone generation","glutathione metabolic process","thyroid hormone generation",1
"GO:0006605",34,"GO:0120009",0.431,1,45,"protein targeting","intermembrane lipid transfer","protein targeting",1
"GO:0006614",34,"GO:0120009",0.389,1,93,"SRP-dependent cotranslational protein targeting to membrane","intermembrane lipid transfer","SRP-dependent cotranslational protein targeting
to membrane",1
"GO:0006622",3,"GO:0016079",0.44,1,22,"protein targeting to lysosome","synaptic vesicle exocytosis","protein targeting to lysosome",1
"GO:0006625",34,"GO:0120009",0.389,2,74,"protein targeting to peroxisome","intermembrane lipid transfer","protein targeting to peroxisome",2
"GO:0006626",109,"GO:0006626",0.999,1,32,"protein targeting to mitochondrion","protein targeting to mitochondrion","protein targeting to mitochondrion",1
"GO:0006631",53,"GO:0006520",0.776,1,59,"fatty acid metabolic process","cellular amino acid metabolic process","fatty acid metabolic process",1
"GO:0006635",53,"GO:0006520",0.661,1,63,"fatty acid beta-oxidation","cellular amino acid metabolic process","fatty acid beta-oxidation",1
"GO:0006641",36,"GO:0006695",0.52,1,36,"triglyceride metabolic process","cholesterol biosynthetic process","triglyceride metabolic process",1
"GO:0006646",36,"GO:0006695",0.593,1,29,"phosphatidylethanolamine biosynthetic process","cholesterol biosynthetic process","phosphatidylethanolamine biosynthetic process",1
"GO:0006654",36,"GO:0006695",0.614,1,49,"phosphatidic acid biosynthetic process","cholesterol biosynthetic process","phosphatidic acid biosynthetic process",1
"GO:0006656",36,"GO:0006695",0.615,1,39,"phosphatidylcholine biosynthetic process","cholesterol biosynthetic process","phosphatidylcholine biosynthetic process",1
"GO:0006661",36,"GO:0006695",0.669,1,82,"phosphatidylinositol biosynthetic process","cholesterol biosynthetic process","phosphatidylinositol biosynthetic process",1
"GO:0006694",36,"GO:0006695",0.915,2,28,"steroid biosynthetic process","cholesterol biosynthetic process","steroid biosynthetic process",2
"GO:0006695",36,"GO:0006695",0.999,2,60,"cholesterol biosynthetic process","cholesterol biosynthetic process","cholesterol biosynthetic process",2
"GO:0006699",36,"GO:0006695",0.804,1,44,"bile acid biosynthetic process","cholesterol biosynthetic process","bile acid biosynthetic process",1
"GO:0006703",36,"GO:0006695",0.74,1,16,"estrogen biosynthetic process","cholesterol biosynthetic process","estrogen biosynthetic process",1
"GO:0006730",53,"GO:0006520",0.493,2,22,"one-carbon metabolic process","cellular amino acid metabolic process","one-carbon metabolic process",2
"GO:0006749",64,"GO:0006749",0.999,2,52,"glutathione metabolic process","glutathione metabolic process","glutathione metabolic process",2
"GO:0006754",84,"GO:0043101",0.771,1,35,"ATP biosynthetic process","purine-containing compound salvage","ATP biosynthetic process",1
"GO:0006801",71,"GO:2000379",0.818,1,27,"superoxide metabolic process","positive regulation of reactive oxygen species metabolic process","superoxide metabolic process",1
"GO:0006805",9,"GO:0071346",0.424,3,108,"xenobiotic metabolic process","cellular response to interferon-gamma","xenobiotic metabolic process",3
"GO:0006809",71,"GO:2000379",0.807,1,16,"nitric oxide biosynthetic process","positive regulation of reactive oxygen species metabolic process","nitric oxide biosynthetic process",1
"GO:0006811",27,"GO:0090280",0.559,1,101,"ion transport","positive regulation of calcium ion import","ion transport",1
"GO:0006814",27,"GO:0090280",0.58,1,83,"sodium ion transport","positive regulation of calcium ion import","sodium ion transport",1
"GO:0006821",27,"GO:0090280",0.439,2,34,"chloride transport","positive regulation of calcium ion import","chloride transport",2
"GO:0006826",27,"GO:0090280",0.538,1,20,"iron ion transport","positive regulation of calcium ion import","iron ion transport",1
"GO:0006839",109,"GO:0006626",0.921,1,15,"mitochondrial transport","protein targeting to mitochondrion","mitochondrial transport",1
"GO:0006874",31,"GO:0006874",0.995,2,105,"cellular calcium ion homeostasis","cellular calcium ion homeostasis","cellular calcium ion homeostasis",2
"GO:0006886",34,"GO:0120009",0.462,2,321,"intracellular protein transport","intermembrane lipid transfer","intracellular protein transport",2
"GO:0006888",79,"GO:0006897",0.633,1,243,"endoplasmic reticulum to Golgi vesicle-mediated transport","endocytosis","endoplasmic reticulum to Golgi
vesicle-mediated transport",1
"GO:0006893",79,"GO:0006897",0.555,1,28,"Golgi to plasma membrane transport","endocytosis","Golgi to plasma membrane transport",1
"GO:0006897",79,"GO:0006897",0.993,1,192,"endocytosis","endocytosis","endocytosis",1
"GO:0006898",79,"GO:0006897",0.912,1,169,"receptor-mediated endocytosis","endocytosis","receptor-mediated endocytosis",1
"GO:0006900",13,"GO:0007009",0.68,1,14,"vesicle budding from membrane","plasma membrane organization","vesicle budding from membrane",1
"GO:0006904",3,"GO:0016079",0.644,1,32,"vesicle docking involved in exocytosis","synaptic vesicle exocytosis","vesicle docking involved in exocytosis",1
"GO:0006911",79,"GO:0006897",0.823,1,94,"phagocytosis, engulfment","endocytosis","phagocytosis, engulfment",1
"GO:0006914",4,"GO:0030574",0.505,3,124,"autophagy","collagen catabolic process","autophagy",3
"GO:0006935",11,"GO:0060326",0.916,1,130,"chemotaxis","cell chemotaxis","chemotaxis",1
"GO:0006936",33,"GO:0061337",0.589,1,115,"muscle contraction","cardiac conduction","muscle contraction",1
"GO:0006939",33,"GO:0061337",0.52,1,18,"smooth muscle contraction","cardiac conduction","smooth muscle contraction",1
"GO:0006953",55,"GO:0006953",1,2,39,"acute-phase response","acute-phase response","acute-phase response",2
"GO:0006955",52,"GO:0030449",0.631,1,461,"immune response","regulation of complement activation","immune response",1
"GO:0006958",52,"GO:0030449",0.845,1,163,"complement activation, classical pathway","regulation of complement activation","complement activation, classical pathway",1
"GO:0006959",52,"GO:0030449",0.86,1,57,"humoral immune response","regulation of complement activation","humoral immune response",1
"GO:0006970",51,"GO:0071260",0.587,1,19,"response to osmotic stress","cellular response to mechanical stimulus","response to osmotic stress",1
"GO:0006978",26,"GO:0034976",0.46,1,15,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","response to endoplasmic reticulum stress","DNA damage response, signal transduction by
p53 class mediator resulting in transcription of p21 class mediator",1
"GO:0006986",9,"GO:0071346",0.435,3,53,"response to unfolded protein","cellular response to interferon-gamma","response to unfolded protein",3
"GO:0006997",108,"GO:0006997",0.999,1,22,"nucleus organization","nucleus organization","nucleus organization",1
"GO:0007004",60,"GO:0000729",0.498,1,39,"telomere maintenance via telomerase","DNA double-strand break processing","telomere maintenance via telomerase",1
"GO:0007009",13,"GO:0007009",0.999,3,16,"plasma membrane organization","plasma membrane organization","plasma membrane organization",3
"GO:0007015",38,"GO:0007015",0.996,2,97,"actin filament organization","actin filament organization","actin filament organization",2
"GO:0007018",8,"GO:0003341",0.877,1,100,"microtubule-based movement","cilium movement","microtubule-based movement",1
"GO:0007029",13,"GO:0007009",0.765,1,42,"endoplasmic reticulum organization","plasma membrane organization","endoplasmic reticulum organization",1
"GO:0007030",13,"GO:0007009",0.801,1,132,"Golgi organization","plasma membrane organization","Golgi organization",1
"GO:0007035",31,"GO:0006874",0.7,1,14,"vacuolar acidification","cellular calcium ion homeostasis","vacuolar acidification",1
"GO:0007043",32,"GO:0007416",0.841,2,46,"cell-cell junction assembly","synapse assembly","cell-cell junction assembly",2
"GO:0007084",108,"GO:0006997",0.835,1,12,"mitotic nuclear envelope reassembly","nucleus organization","mitotic nuclear envelope reassembly",1
"GO:0007154",87,"GO:0007154",0.862,1,27,"cell communication","cell communication","cell communication",1
"GO:0007155",6,"GO:0007155",0.983,4,472,"cell adhesion","cell adhesion","cell adhesion",4
"GO:0007156",6,"GO:0007155",0.741,1,178,"homophilic cell adhesion via plasma membrane adhesion molecules","cell adhesion","homophilic cell adhesion via
plasma membrane adhesion molecules",1
"GO:0007157",6,"GO:0007155",0.661,1,49,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","cell adhesion","heterophilic cell-cell adhesion via plasma membrane
cell adhesion molecules",1
"GO:0007158",6,"GO:0007155",0.622,3,23,"neuron cell-cell adhesion","cell adhesion","neuron cell-cell adhesion",3
"GO:0007160",6,"GO:0007155",0.773,2,105,"cell-matrix adhesion","cell adhesion","cell-matrix adhesion",2
"GO:0007162",6,"GO:0007155",0.795,1,53,"negative regulation of cell adhesion","cell adhesion","negative regulation of cell adhesion",1
"GO:0007166",87,"GO:0007154",0.683,1,213,"cell surface receptor signaling pathway","cell communication","cell surface receptor signaling pathway",1
"GO:0007169",24,"GO:0071526",0.454,1,116,"transmembrane receptor protein tyrosine kinase signaling pathway","semaphorin-plexin signaling pathway","transmembrane receptor protein tyrosine
kinase signaling pathway",1
"GO:0007186",50,"GO:0007186",0.985,2,1272,"G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling
pathway",2
"GO:0007189",37,"GO:0048015",0.476,1,139,"adenylate cyclase-activating G protein-coupled receptor signaling pathway","phosphatidylinositol-mediated signaling","adenylate cyclase-activating G protein-coupled
receptor signaling pathway",1
"GO:0007194",58,"GO:0043405",0.495,1,18,"negative regulation of adenylate cyclase activity","regulation of MAP kinase activity","negative regulation of adenylate
cyclase activity",1
"GO:0007200",50,"GO:0007186",0.725,1,61,"phospholipase C-activating G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling pathway","phospholipase C-activating G protein-coupled
receptor signaling pathway",1
"GO:0007202",58,"GO:0043405",0.515,1,32,"activation of phospholipase C activity","regulation of MAP kinase activity","activation of phospholipase C activity",1
"GO:0007212",20,"GO:0042493",0.731,1,15,"dopamine receptor signaling pathway","response to drug","dopamine receptor signaling pathway",1
"GO:0007214",50,"GO:0007186",0.644,1,28,"gamma-aminobutyric acid signaling pathway","G protein-coupled receptor signaling pathway","gamma-aminobutyric acid signaling pathway",1
"GO:0007218",50,"GO:0007186",0.723,1,111,"neuropeptide signaling pathway","G protein-coupled receptor signaling pathway","neuropeptide signaling pathway",1
"GO:0007229",87,"GO:0007154",0.376,1,110,"integrin-mediated signaling pathway","cell communication","integrin-mediated signaling pathway",1
"GO:0007263",37,"GO:0048015",0.42,1,20,"nitric oxide mediated signal transduction","phosphatidylinositol-mediated signaling","nitric oxide mediated signal transduction",1
"GO:0007267",42,"GO:0007267",0.975,2,216,"cell-cell signaling","cell-cell signaling","cell-cell signaling",2
"GO:0007268",42,"GO:0007267",0.852,1,253,"chemical synaptic transmission","cell-cell signaling","chemical synaptic transmission",1
"GO:0007269",3,"GO:0016079",0.963,1,53,"neurotransmitter secretion","synaptic vesicle exocytosis","neurotransmitter secretion",1
"GO:0007286",45,"GO:0007548",0.718,1,85,"spermatid development","sex differentiation","spermatid development",1
"GO:0007288",11,"GO:0060326",0.518,1,15,"sperm axoneme assembly","cell chemotaxis","sperm axoneme assembly",1
"GO:0007368",97,"GO:0009948",0.717,1,62,"determination of left/right symmetry","anterior/posterior axis specification","determination of left/right symmetry",1
"GO:0007399",30,"GO:0010975",0.724,2,301,"nervous system development","regulation of neuron projection development","nervous system development",2
"GO:0007409",14,"GO:0007411",0.942,2,83,"axonogenesis","axon guidance","axonogenesis",2
"GO:0007411",14,"GO:0007411",0.997,3,229,"axon guidance","axon guidance","axon guidance",3
"GO:0007413",30,"GO:0010975",0.634,1,21,"axonal fasciculation","regulation of neuron projection development","axonal fasciculation",1
"GO:0007416",32,"GO:0007416",0.998,2,68,"synapse assembly","synapse assembly","synapse assembly",2
"GO:0007417",30,"GO:0010975",0.637,2,143,"central nervous system development","regulation of neuron projection development","central nervous system development",2
"GO:0007422",30,"GO:0010975",0.488,2,27,"peripheral nervous system development","regulation of neuron projection development","peripheral nervous system development",2
"GO:0007528",32,"GO:0007416",0.754,1,31,"neuromuscular junction development","synapse assembly","neuromuscular junction development",1
"GO:0007548",45,"GO:0007548",0.997,2,17,"sex differentiation","sex differentiation","sex differentiation",2
"GO:0007565",45,"GO:0007548",0.631,1,88,"female pregnancy","sex differentiation","female pregnancy",1
"GO:0007568",2,"GO:0007568",0.998,5,169,"aging","aging","aging",5
"GO:0007584",66,"GO:0009267",0.836,1,64,"response to nutrient","cellular response to starvation","response to nutrient",1
"GO:0007585",73,"GO:0007585",1,2,29,"respiratory gaseous exchange by respiratory system","respiratory gaseous exchange by respiratory system","respiratory gaseous exchange by
respiratory system",2
"GO:0007588",33,"GO:0061337",0.495,1,32,"excretion","cardiac conduction","excretion",1
"GO:0007596",70,"GO:0031103",0.74,1,193,"blood coagulation","axon regeneration","blood coagulation",1
"GO:0007597",70,"GO:0031103",0.599,1,19,"blood coagulation, intrinsic pathway","axon regeneration","blood coagulation, intrinsic pathway",1
"GO:0007601",33,"GO:0061337",0.542,2,217,"visual perception","cardiac conduction","visual perception",2
"GO:0007605",33,"GO:0061337",0.525,2,143,"sensory perception of sound","cardiac conduction","sensory perception of sound",2
"GO:0007611",44,"GO:0035176",0.706,2,61,"learning or memory","social behavior","learning or memory",2
"GO:0007613",44,"GO:0035176",0.657,1,84,"memory","social behavior","memory",1
"GO:0007623",62,"GO:0007623",0.998,2,81,"circadian rhythm","circadian rhythm","circadian rhythm",2
"GO:0007626",44,"GO:0035176",0.679,2,84,"locomotory behavior","social behavior","locomotory behavior",2
"GO:0007628",44,"GO:0035176",0.599,1,29,"adult walking behavior","social behavior","adult walking behavior",1
"GO:0007631",44,"GO:0035176",0.656,1,26,"feeding behavior","social behavior","feeding behavior",1
"GO:0008016",33,"GO:0061337",0.937,1,35,"regulation of heart contraction","cardiac conduction","regulation of heart contraction",1
"GO:0008045",14,"GO:0007411",0.816,1,23,"motor neuron axon guidance","axon guidance","motor neuron axon guidance",1
"GO:0008104",34,"GO:0120009",0.487,1,76,"protein localization","intermembrane lipid transfer","protein localization",1
"GO:0008202",36,"GO:0006695",0.858,1,50,"steroid metabolic process","cholesterol biosynthetic process","steroid metabolic process",1
"GO:0008217",33,"GO:0061337",0.757,2,63,"regulation of blood pressure","cardiac conduction","regulation of blood pressure",2
"GO:0008283",28,"GO:0050680",0.713,1,213,"cell population proliferation","negative regulation of epithelial cell proliferation","cell population proliferation",1
"GO:0008285",28,"GO:0050680",0.853,1,450,"negative regulation of cell population proliferation","negative regulation of epithelial cell proliferation","negative regulation of cell
population proliferation",1
"GO:0008286",35,"GO:0030518",0.731,1,100,"insulin receptor signaling pathway","intracellular steroid hormone receptor signaling pathway","insulin receptor signaling pathway",1
"GO:0008306",44,"GO:0035176",0.64,2,27,"associative learning","social behavior","associative learning",2
"GO:0008360",14,"GO:0007411",0.706,2,158,"regulation of cell shape","axon guidance","regulation of cell shape",2
"GO:0008544",65,"GO:0003323",0.475,1,80,"epidermis development","type B pancreatic cell development","epidermis development",1
"GO:0008589",87,"GO:0007154",0.363,1,21,"regulation of smoothened signaling pathway","cell communication","regulation of smoothened signaling pathway",1
"GO:0008610",36,"GO:0006695",0.786,1,12,"lipid biosynthetic process","cholesterol biosynthetic process","lipid biosynthetic process",1
"GO:0008630",61,"GO:0060548",0.581,2,49,"intrinsic apoptotic signaling pathway in response to DNA damage","negative regulation of cell death","intrinsic apoptotic signaling pathway
in response to DNA damage",2
"GO:0008652",53,"GO:0006520",0.862,1,25,"cellular amino acid biosynthetic process","cellular amino acid metabolic process","cellular amino acid biosynthetic process",1
"GO:0008654",36,"GO:0006695",0.715,1,27,"phospholipid biosynthetic process","cholesterol biosynthetic process","phospholipid biosynthetic process",1
"GO:0009168",53,"GO:0006520",0.498,1,13,"purine ribonucleoside monophosphate biosynthetic process","cellular amino acid metabolic process","purine ribonucleoside monophosphate biosynthetic process",1
"GO:0009267",66,"GO:0009267",0.999,2,71,"cellular response to starvation","cellular response to starvation","cellular response to starvation",2
"GO:0009306",34,"GO:0120009",0.442,2,53,"protein secretion","intermembrane lipid transfer","protein secretion",2
"GO:0009311",83,"GO:0045721",0.584,1,13,"oligosaccharide metabolic process","negative regulation of gluconeogenesis","oligosaccharide metabolic process",1
"GO:0009312",83,"GO:0045721",0.693,1,18,"oligosaccharide biosynthetic process","negative regulation of gluconeogenesis","oligosaccharide biosynthetic process",1
"GO:0009314",51,"GO:0071260",0.669,1,29,"response to radiation","cellular response to mechanical stimulus","response to radiation",1
