"best_anno","most_freq_anno","anno_score","was_loc","GeneID"
"DAO","LOC113984893","1","Y","LOC113984893"
"ATRX","ATRX","3","Y","LOC113985281"
"RRAGA","RRAGA","2","Y","LOC113985265"
"KLF8","KLF8","2","Y","LOC113985228"
"TUBA3E","LOC425049","2","Y","LOC113985616"
"ENPP7","ENPP7","4","Y","LOC113986046"
"HYDIN","HYDIN","4","Y","LOC113986090"
"IMPDH1","IMPDH1","2","Y","LOC113986178"
"GRIK4","GRIK4","4","Y","LOC113986221"
"CR1","LOC113986249","1","Y","LOC113986249"
"CR1","LOC113986226","1","Y","LOC113986226"
"PLXNA2","PLXNA2","3","Y","LOC113986256"
"CD34","CD34","3","Y","LOC113986257"
"ARAP1","ARAP1","2","Y","LOC113986275"
"RNF4","RNF4","4","Y","LOC113986283"
"INCENP","INCENP","4","Y","LOC113986346"
"UBE2L6","UBE2L6","2","Y","LOC113986369"
"CFH","CFH","3","Y","LOC113986455"
"SCN5A","SCN5A","2","Y","LOC113986457"
"SCN5A","SCN5A","2","Y","LOC113986458"
"SCN5A","SCN5A","2","Y","LOC113986459"
"SCN5A","SCN5A","2","Y","LOC113986460"
"H2AFX","H2AFX","2","Y","LOC113986478"
"KLHDC10","KLHDC10","3","Y","LOC113986485"
"CAMK2A","CAMK2A","4","Y","LOC113986509"
"PCDHA2","PCDHA2","2","Y","LOC113986534"
"HTT","HTT","3","Y","LOC113986620"
"DGKK","DGKK","2","Y","LOC113986829"
"PAK3","PAK3","3","Y","LOC113986828"
"WNT3A","WNT3A","4","Y","LOC113986844"
"WNT9A","WNT9A","4","Y","LOC113986843"
"JAK1","JAK1","4","Y","LOC113986913"
"ILVBL","ILVBL","3","Y","LOC113986949"
"CD101","CD101","2","Y","LOC113986956"
"CD80","CD80","3","Y","LOC113986951"
"CNTNAP2","CNTNAP2","3","Y","LOC113986983"
"ARHGAP20","ARHGAP20","4","Y","LOC113986991"
"GJB2","GJB2","3","Y","LOC113987005"
"GJB6","GJB6","3","Y","LOC113987004"
"CRYL1","CRYL1","4","Y","LOC113986985"
"ANKRD26","ANKRD26","4","Y","LOC113987011"
"SAE1","SAE1","3","Y","LOC113987012"
"MEST","MEST","3","Y","LOC113987014"
"OTOF","OTOF","2","Y","LOC113987015"
"GRIK3","GRIK3","3","Y","LOC113987027"
"AGO1","AGO1","4","Y","LOC113987020"
"FH","FH","4","Y","LOC113987068"
"OR6B2","LOC113987091","1","Y","LOC113987091"
"TMEM178B","TMEM178B","4","Y","LOC113987157"
"GPR179","GPR179","3","Y","LOC113987175"
"NPEPPS","NPEPPS","4","Y","LOC113987171"
"KPNB1","KPNB1","4","Y","LOC113987176"
"LRRC37A","LRRC37A","2","Y","LOC113987183"
"CHCHD3","CHCHD3","3","Y","LOC113987186"
"EXOC4","EXOC4","4","Y","LOC113987184"
"ZC3H3","ZC3H3","4","Y","LOC113987188"
"RPS27","RPS27","4","Y","LOC113987193"
"RAB13","RAB13","2","Y","LOC113987192"
"CREB3","CREB3","4","Y","LOC113987191"
"SIGLEC1","SIGLEC1","2","Y","LOC113987201"
"DNMT1","DNMT1","3","Y","LOC113987219"
"CYBA","CYBA","4","Y","LOC113987247"
"EMX1","EMX1","4","Y","LOC113987255"
"HYDIN","HYDIN","4","Y","LOC113987257"
"HSPA13","HSPA13","4","Y","LOC113987259"
"DLG2","DLG2","2","Y","LOC113987271"
"AGBL1","AGBL1","3","Y","LOC113987295"
"KLHL25","KLHL25","3","Y","LOC113987294"
"TNNI3K","TNNI3K","4","Y","LOC113987349"
"LMO4","LOC113987352","1","Y","LOC113987352"
"CCDC180","CCDC180","2","Y","LOC113987354"
"CIPC","CIPC","4","N","CIPC"
"ACSS1","ACSS1","2","Y","LOC113987460"
"TMEM183A","TMEM183A","4","Y","LOC113987474"
"ESD","ESD","4","Y","LOC113987500"
"SHISA6","SHISA6","3","Y","LOC113987589"
"ZBTB7A","ZBTB7A","4","Y","LOC113987599"
"FBN3","FBN3","2","Y","LOC113987600"
"FBN3","FBN3","3","Y","LOC113987606"
"MRC1","MRC1","2","Y","LOC113987639"
"MRC1","MRC1","3","Y","LOC113987637"
"ABCB1","ABCB1","3","Y","LOC113987650"
"ABCB1","ABCB1","3","Y","LOC113987630"
"SFTPA2","SFTPA2","2","Y","LOC113987678"
"PTPRN2","PTPRN2","3","Y","LOC113987717"
"WDR37","LOC113987730","1","Y","LOC113987730"
"SLC35E4","SLC35E4","4","Y","LOC113987743"
"OSBP2","OSBP2","3","Y","LOC113987740"
"PAIP2","PAIP2","4","Y","LOC113987746"
"SLC12A4","SLC12A4","2","Y","LOC113987767"
"CLPTM1","CLPTM1","3","Y","LOC113987768"
"ARL8B","ARL8B","4","Y","LOC113987785"
"SPAM1","SPAM1","3","Y","LOC113987784"
"WIZ","LOC113987805","1","Y","LOC113987805"
"HKDC1","HKDC1","4","Y","LOC113987813"
"HK1","HK1","4","Y","LOC113987812"
"MACROH2A2","MACROH2A2","2","Y","LOC113987817"
"TTC5","TTC5","2","Y","LOC113987847"
"PNP","PNP","4","Y","LOC113987844"
"DSCAM","DSCAM","4","Y","LOC113987855"
"SIGLEC1","SIGLEC1","3","Y","LOC113987866"
"VAX2","VAX2","2","Y","LOC113987867"
"VPS26B","VPS26B","4","Y","LOC113987883"
"KCND3","KCND3","4","Y","LOC113987923"
"EPHX2","EPHX2","3","Y","LOC113987927"
"MAPK10","MAPK10","4","Y","LOC113987950"
"TRAPPC9","TRAPPC9","3","Y","LOC113987975"
"ETV3","LOC113987977","1","Y","LOC113987977"
"CHAF1A","CHAF1A","4","Y","LOC113988014"
"SH3GL1","SH3GL1","3","Y","LOC113988013"
"RTN3","RTN3","3","Y","LOC113988015"
"H2BC21","H2BC21","2","Y","LOC113988028"
"HIST1H111L","HIST1H111L","2","Y","LOC113988018"
"HIST1H101","HIST1H101","2","Y","LOC113988019"
"SEMA5A","SEMA5A","3","Y","LOC113988059"
"MTRR","MTRR","3","Y","LOC113988049"
"MARC1","MARC1","3","Y","LOC113988048"
"ESD","ESD","4","Y","LOC113988145"
"WDR27","WDR27","4","Y","LOC113988137"
"TGFBR1","TGFBR1","4","Y","LOC113988184"
"TOX","TOX","4","Y","LOC113988193"
"EDEM2","EDEM2","3","Y","LOC113988192"
"PIP5K1A","PIP5K1A","2","Y","LOC113988212"
"CPXM1","CPXM1","3","Y","LOC113988213"
"RHOBTB2","RHOBTB2","2","Y","LOC113988218"
"UGT2B10","LOC113988244","1","Y","LOC113988244"
"LBP","LBP","2","Y","LOC113988345"
"TGM2","TGM2","4","Y","LOC113988333"
"ANKRD26","ANKRD26","4","Y","LOC113988349"
"NLGN3","NLGN3","3","Y","LOC113988378"
"SESN1","LOC113988359","1","Y","LOC113988359"
"NCBP2","NCBP2","2","Y","LOC113988372"
"DLG3","DLG3","2","Y","LOC113988363"
"NPR1","NPR1","2","Y","LOC113988418"
"LRP1","LRP1","4","Y","LOC113988419"
"ANKRD26","ANKRD26","4","Y","LOC113988422"
"ELOC","ELOC","2","N","ELOC"
"ZNRD1","LOC113988440","1","Y","LOC113988440"
"MGAT1","MGAT1","4","Y","LOC113988441"
"PEX5","PEX5","4","Y","LOC113988494"
"TRPV6","TRPV6","2","Y","LOC113988495"
"EPHB6","EPHB6","3","Y","LOC113988477"
"PRSS2","LOC107050394","2","Y","LOC113988464"
"DOCK2","DOCK2","4","Y","LOC113988501"
"UNC13B","UNC13B","3","Y","LOC113988510"
"CCL19","CCL19","4","Y","LOC113988526"
"MYORG","MYORG","2","Y","LOC113988520"
"MYORG","MYORG","2","Y","LOC113988519"
"CTU1","CTU1","2","Y","LOC113988548"
"SYNGAP1","SYNGAP1","2","Y","LOC113988556"
"STRN4","STRN4","2","Y","LOC113988557"
"COL22A1","COL22A1","4","Y","LOC113988558"
"DMD","DMD","2","Y","LOC113988582"
"SCN5A","SCN5A","2","Y","LOC113988585"
"PRUNE2","PRUNE2","3","Y","LOC113988597"
"VPS13A","VPS13A","3","Y","LOC113988592"
"ZNF638","ZNF638","3","Y","LOC113988615"
"ATRN","ATRN","3","Y","LOC113988617"
"SPTBN4","SPTBN4","2","Y","LOC113988625"
"SRCIN1","SRCIN1","3","Y","LOC113988660"
"INTS6L","INTS6L","3","Y","LOC113988684"
"PLIN1","LOC113988713","1","Y","LOC113988713"
"LUC7L2","LUC7L2","3","Y","LOC113988739"
"HCCS","HCCS","4","Y","LOC113988823"
"TMEM56","TMEM56","3","Y","LOC113988816"
"PIP4K2C","PIP4K2C","2","Y","LOC113988987"
"FAM124A","FAM124A","4","Y","LOC113989009"
"ZNF804B","ZNF804B","2","Y","LOC113988991"
"TRPC4","TRPC4","4","Y","LOC113989062"
"ERCC6L2","ERCC6L2","3","Y","LOC113989070"
"SLC4A11","SLC4A11","3","Y","LOC113989136"
"LAMC2","LAMC2","4","Y","LOC113989148"
"LAMC2","LAMC2","4","Y","LOC113989166"
"PDE4D","PDE4D","3","Y","LOC113989201"
"DAB2IP","LOC113989207","1","Y","LOC113989207"
"NEDD4","NEDD4","3","Y","LOC113989210"
"HTR5A","HTR5A","4","Y","LOC113989258"
"GPD1","GPD1","4","Y","LOC113989222"
"PPP1R21","PPP1R21","4","Y","LOC113989261"
"ADRA2C","ADRA2C","4","Y","LOC113989272"
"KCNK2","KCNK2","3","Y","LOC113989303"
"TAX1BP1","TAX1BP1","4","Y","LOC113989328"
"TBC1D5","TBC1D5","3","Y","LOC113989323"
"KCNMB1","KCNMB1","3","Y","LOC113989361"
"KCNIP1","KCNIP1","3","Y","LOC113989358"
"BIRC5","BIRC5","3","Y","LOC113989368"
"CCDC171","CCDC171","3","Y","LOC113989388"
"A2M","A2M","3","Y","LOC113989411"
"A2ML1","A2ML1","2","Y","LOC113989405"
"A2ML1","A2ML1","4","Y","LOC113989407"
"SLC2A3","SLC2A3","2","Y","LOC113989420"
"PUF60","PUF60","4","Y","LOC113989432"
"DNM2","DNM2","3","Y","LOC113989436"
"MUC6","MUC6","4","Y","LOC113989512"
"PLCG1","PLCG1","2","Y","LOC113989518"
"AMPD2","AMPD2","3","Y","LOC113989542"
"AKAP8","AKAP8","3","Y","LOC113989593"
"BRD4","BRD4","2","Y","LOC113989594"
"MYH1","MYH1","4","Y","LOC113989609"
"MYH1","MYH1","4","Y","LOC113989610"
"MYH3","LOC113989611","1","Y","LOC113989611"
"FOXJ1","FOXJ1","4","Y","LOC113989681"
"TAX1BP1","TAX1BP1","4","Y","LOC113989730"
"PIF1","PIF1","3","Y","LOC113989745"
"SI","SI","3","Y","LOC113989810"
"SCAP","SCAP","3","Y","LOC113989812"
"TRIM41","TRIM41","4","Y","LOC113989829"
"IGF2R","IGF2R","4","Y","LOC113989831"
"KLHL32","KLHL32","3","Y","LOC113989854"
"IWS1","LOC113989943","1","Y","LOC113989943"
"COPS8","COPS8","4","Y","LOC113989947"
"ESPNL","LOC113989970","1","Y","LOC113989970"
"DGKG","DGKG","2","Y","LOC113989956"
"FZD4","FZD4","4","Y","LOC113990029"
"ME3","ME3","3","Y","LOC113990030"
"LRBA","LRBA","3","Y","LOC113990031"
"PLAC8","PLAC8","2","Y","LOC113990017"
"SPP1","SPP1","3","Y","LOC113990026"
"SPP1","SPP1","3","Y","LOC113990027"
"SPARCL1","SPARCL1","4","Y","LOC113990002"
"PPP1R3E","PPP1R3E","4","Y","LOC113990070"
"HNF4beta","HNF4beta","2","Y","LOC113990068"
"TLR7","TLR7","4","Y","LOC113990131"
"NPLOC4","NPLOC4","4","N","NPLOC4"
"CTNND2","CTNND2","3","Y","LOC113990216"
"ANKRD26","ANKRD26","4","Y","LOC113990247"
"RPS6KA2","RPS6KA2","3","Y","LOC113990249"
"RNASET2","RNASET2","4","Y","LOC113990250"
"CNTNAP5","CNTNAP5","4","Y","LOC113990251"
"HUWE1","HUWE1","2","Y","LOC113990253"
"NSMCE3","NSMCE3","2","Y","LOC113990258"
"PFKFB4","PFKFB4","3","Y","LOC113990255"
"NAA10","NAA10","4","Y","LOC113990252"
"SOHYE2L","SOHYE2L","2","Y","LOC113990266"
"FAM46D","FAM46D","3","Y","LOC113990284"
"PAK3","PAK3","2","Y","LOC113990269"
"HPF1","HPF1","4","Y","LOC113990333"
"OLFM2","OLFM2","4","Y","LOC113990340"
"TRAK2","TRAK2","3","Y","LOC113990358"
"CFLAR","LOC113990357","1","Y","LOC113990357"
"PLRG1","PLRG1","4","Y","LOC113990369"
"RAB5B","RAB5B","4","Y","LOC113990373"
"HSD11B1","HSD11B1","4","Y","LOC113990389"
"ATP8B2","ATP8B2","3","Y","LOC113990405"
"POR","POR","4","Y","LOC113990467"
"ASL","ASL","4","Y","LOC113990456"
"AIFM3","AIFM3","2","Y","LOC113990489"
"MIR22","MIR22","2","Y","LOC113990440"
"OVCA2","LOC113990481","1","Y","LOC113990481"
"SMG6","SMG6","3","Y","LOC113990491"
"ANKRD26","ANKRD26","4","Y","LOC113990519"
"ZNF462","ZNF462","2","Y","LOC113990539"
"ADARB2","ADARB2","2","Y","LOC113990542"
"PIF1","PIF1","2","Y","LOC113990561"
"PIF1","LOC113990562","1","Y","LOC113990562"
"PNLIP","PNLIP","4","Y","LOC113990564"
"GAA","GAA","4","Y","LOC113990618"
"FOXL3","FOXL3","2","Y","LOC113990617"
"CRYM","CRYM","4","Y","LOC113990630"
"CRYM","CRYM","4","Y","LOC113990629"
"GPRC5B","GPRC5B","3","Y","LOC113990661"
"GABRG3","GABRG3","2","Y","LOC113990721"
"JADE3","JADE3","3","Y","LOC113990701"
"PHLDB3","PHLDB3","2","Y","LOC113990762"
"USF2","USF2","2","Y","LOC113990763"
"MAG","MAG","2","Y","LOC113990764"
"PPP1R37","PPP1R37","2","Y","LOC113990765"
"EXOSC8","EXOSC8","3","Y","LOC113990767"
"DTX1","DTX1","3","Y","LOC113990770"
"WSB2","WSB2","4","Y","LOC113990771"
"APH1A","APH1A","4","Y","LOC113990797"
"CA9","CA9","3","Y","LOC113990794"
"SLCO1A2","SLCO1A2","2","Y","LOC113990852"
"SOX5","LOC113990787","1","Y","LOC113990787"
"SLC6A13","SLC6A13","2","Y","LOC113990781"
"ZFX","LOC113990833","1","Y","LOC113990833"
"MAF1","MAF1","4","Y","LOC113990876"
"SMG6","SMG6","3","Y","LOC113990916"
"BCAS3","BCAS3","3","Y","LOC113990968"
"NSMCE2","NSMCE2","4","Y","LOC113991003"
"MDGA2","MDGA2","3","Y","LOC113991046"
"ZBTB34","ZBTB34","4","Y","LOC113991055"
"ENTPD8","ENTPD8","4","Y","LOC113991070"
"GABRB3","GABRB3","4","Y","LOC113991128"
"TYK2","TYK2","2","Y","LOC113991133"
"IMPDH1","IMPDH1","2","Y","LOC113991135"
"POLE3","POLE3","4","Y","LOC113991138"
"OTOF","OTOF","3","Y","LOC113991140"
"PTH1R","PTH1R","3","Y","LOC113991146"
"S100A4","S100A4","3","Y","LOC113991169"
"MIP","MIP","4","Y","LOC113991243"
"TUBA1C","TUBA1C","3","Y","LOC113991233"
"TUBA1A1","TUBA1A1","2","Y","LOC113991207"
"RND1","RND1","4","Y","LOC113991241"
"ASAP1","ASAP1","3","Y","LOC113991271"
"CCDC171","CCDC171","3","Y","LOC113991287"
"PCDHAC1","PCDHAC1","4","Y","LOC113991383"
"ABCB1","ABCB1","3","Y","LOC113991394"
"ABCB1","ABCB1","3","Y","LOC113991395"
"MUC6","MUC6","2","Y","LOC113991415"
"RASSF7","RASSF7","2","Y","LOC113991423"
"SH3BGR","SH3BGR","2","Y","LOC113991438"
"SCN5A","SCN5A","2","Y","LOC113991466"
"SCN5A","SCN5A","4","Y","LOC113991446"
"SLC22A23","LOC113991506","1","Y","LOC113991506"
"TUBB2A","TUBB2A","3","Y","LOC113991529"
"TUBB2A","TUBB2A","3","Y","LOC113991530"
"NQO2","NQO2","3","Y","LOC113991532"
"NQO2","NQO2","3","Y","LOC113991534"
"SAT1","SAT1","4","Y","LOC113991511"
"LIN7A","LIN7A","2","Y","LOC113991561"
"SMARCA4","SMARCA4","3","Y","LOC113991570"
"SRCAP","LOC100857358","2","Y","LOC113991571"
"CERS2","CERS2","3","Y","LOC113991588"
"CTSK","CTSK","4","Y","LOC113991586"
"SAMD13","LOC101747367","2","Y","LOC113991629"
"REPIN1","LOC113991687","1","Y","LOC113991687"
"LRRC61","LRRC61","3","Y","LOC113991685"
"HSPG2","HSPG2","4","Y","LOC113991705"
"HDAC7","HDAC7","4","Y","LOC113991729"
"OTUD5","OTUD5","4","Y","LOC113991744"
"SRPK3","SRPK3","2","Y","LOC113991748"
"TLN1","TLN1","4","Y","LOC113991759"
"CREB3","CREB3","4","Y","LOC113991763"
"GBA2","GBA2","4","Y","LOC113991752"
"GBA2","GBA2","4","Y","LOC113991756"
"GBA2","GBA2","4","Y","LOC113991750"
"MTMR9","MTMR9","4","Y","LOC113991780"
"ZBTB8A","ZBTB8A","3","Y","LOC113991794"
"ZBTB8A","ZBTB8A","4","Y","LOC113991790"
"S100PBP","LOC113991788","1","Y","LOC113991788"
"SMIM29","SMIM29","2","Y","LOC113991847"
"SLC8A2","SLC8A2","3","Y","LOC113991856"
"MYH7","MYH7","2","Y","LOC113991864"
"TNFRSF14","TNFRSF14","2","Y","LOC113991905"
"TNFRSF14","TNFRSF14","2","Y","LOC113991906"
"HES5","HES5","2","Y","LOC113991947"
"SLC35E2B","SLC35E2B","2","Y","LOC113991934"
"CDK11B","CDK11B","2","Y","LOC113991932"
"ATAD3A","ATAD3A","4","Y","LOC113991982"
"PTPN6","LOC419429","2","Y","LOC113991889"
"FADS1","FADS1","3","Y","LOC113991921"
"FADS2","FADS2","3","Y","LOC113991949"
"PI16","PI16","3","Y","LOC113991994"
"PI16","PI16","3","Y","LOC113991995"
"PTPRVP","PTPRVP","2","Y","LOC113992026"
"TUBA3E","TUBA3E","2","Y","LOC113992016"
"FAM81B","FAM81B","3","Y","LOC113992052"
"PCSK5","LOC113992079","1","Y","LOC113992079"
"TRPM7","TRPM7","3","Y","LOC113992071"
"LARS2","LARS2","3","Y","LOC113992105"
"TKFC","TKFC","3","Y","LOC113992163"
"DDB1","DDB1","4","Y","LOC113992164"
"TRPC4","TRPC4","4","Y","LOC113992172"
"HIP1","HIP1","4","Y","LOC113992190"
"CLDN4","CLDN4","4","Y","LOC113992202"
"SEPTIN4","LOC113992196","1","Y","LOC113992196"
"VAMP2","VAMP2","3","Y","LOC113992227"
"HES6","HES6","2","Y","LOC113992236"
"SENP2","SENP2","4","Y","LOC113992247"
"ANKRD16","ANKRD16","4","Y","LOC113992253"
"COPG2","COPG2","3","Y","LOC113992255"
"MEST","MEST","3","Y","LOC113992256"
"RTKN","RTKN","3","Y","LOC113992263"
"PNPO","PNPO","4","Y","LOC113992266"
"CDK5RAP3","CDK5RAP3","4","Y","LOC113992269"
"CD38","CD38","4","Y","LOC113992301"
"LYSMD1","LYSMD1","4","Y","LOC113992310"
"SCNM1","SCNM1","4","Y","LOC113992309"
"TMOD4","TMOD4","3","Y","LOC113992312"
"VPS72","VPS72","4","Y","LOC113992308"
"PIP5K1A","PIP5K1A","3","Y","LOC113992314"
"IGF2R","IGF2R","4","Y","LOC113992319"
"HYDIN","HYDIN","4","Y","LOC113992388"
"UQCRFS1","UQCRFS1","4","Y","LOC113992387"
"RNF4","RNF4","4","Y","LOC113992453"
"PRKD3","PRKD3","3","Y","LOC113992469"
"AHCTF1","AHCTF1","3","Y","LOC113992455"
"TRHDE","TRHDE","4","Y","LOC113992470"
"MAN2B1","MAN2B1","2","Y","LOC113992473"
"ANKRD26","ANKRD26","4","Y","LOC113992476"
"AKAP8","AKAP8","3","Y","LOC113992565"
"GNAI1","GNAI1","4","Y","LOC113992576"
"POLR2A","POLR2A","2","Y","LOC113992597"
"ZNF629L","ZNF629L","2","Y","LOC113992606"
"THAP7","THAP7","3","Y","LOC113992619"
"WIZ","LOC113992637","1","Y","LOC113992637"
"ZNF777","ZNF777","2","Y","LOC113992639"
"REL","REL","4","Y","LOC113992821"
"CLPTM1","LOC113992823","1","Y","LOC113992823"
"EXOC6","EXOC6","4","Y","LOC113992886"
"WIZ","WIZ","2","Y","LOC113992887"
"DOCK1","DOCK1","2","Y","LOC113992914"
"NELFE","NELFE","4","Y","LOC113992922"
"MOB4","MOB4","4","Y","LOC113992937"
"MLF1","MLF1","2","Y","LOC113992973"
"FAM155A","FAM155A","4","Y","LOC113993003"
"PEX14","PEX14","4","Y","LOC113993067"
"PTK2","PTK2","4","Y","LOC113993074"
"GPR83","GPR83","3","Y","LOC113993090"
"GPR83","GPR83","4","Y","LOC113993087"
"VSIG4","VSIG4","3","Y","LOC113993083"
"VSIG4","VSIG4","3","Y","LOC113993091"
"CAMK4","CAMK4","3","Y","LOC113993142"
"OTOF","OTOF","2","Y","LOC113993146"
"ANKRD26","ANKRD26","4","Y","LOC113993161"
"CACNA1A","CACNA1A","2","Y","LOC113993166"
"CACNA1A","LOC113993165","1","Y","LOC113993165"
"GNPNAT1","LOC113993172","1","Y","LOC113993172"
"RUVBL2","RUVBL2","2","Y","LOC113993175"
"SAT1","SAT1","4","Y","LOC113993185"
"CDH6","CDH6","4","Y","LOC113993201"
"LAMA4","LAMA4","3","Y","LOC113993281"
"SLAMF8","LOC113993289","1","Y","LOC113993289"
"ETV3","ETV3","4","Y","LOC113993287"
"PDE4D","PDE4D","3","Y","LOC113993299"
"MED13","MED13","4","Y","LOC113993318"
"PNPLA7","PNPLA7","4","Y","LOC113993348"
"PDE11A","PDE11A","3","Y","LOC113993433"
"TRAK2","TRAK2","3","Y","LOC113993428"
"VAV2","VAV2","4","Y","LOC113993476"
"HERC3","HERC3","4","Y","LOC113993519"
"NPR1","LOC107055115","2","Y","LOC113993563"
"ITGA9","ITGA9","4","Y","LOC113993576"
"DNM2","DNM2","3","Y","LOC113993578"
"UTRN","UTRN","3","Y","LOC113993584"
"RND1","RND1","4","Y","LOC113993585"
"SPTB","SPTB","4","Y","LOC113993595"
"ALG10","ALG10","4","Y","LOC113993646"
